row_labels,,lignite,hard_coal,coal,other_fossil,gas,fossil,,nuclear,,solar,wind,wind_and_solar,bioenergy,hydro,other_renewables,renewables,,,demand,net_imports,production
2000,,339.781,455.272,795.053,235.088814,328.208561,1358.350375,,859.924,,0.09322,21.423989,21.517209,29.198788,354.934401,5.292307,410.942705,,,2638.107604,8.890524,2629.21708
2001,,349.992,442.38,792.372,234.123347,351.390444,1377.885791,,888.887,,0.164502,25.78248,25.946982,32.510353,375.525216,5.096933,439.079484,,,2697.529739,-8.322536,2705.852275
2002,,347.272,460.08,807.352,246.301817,374.570906,1428.224723,,902.306,,0.278236,35.006516,35.284752,37.894886,314.698661,5.255398,393.133697,,,2721.475142,-2.189278,2723.66442
2003,,355.723,493.391,849.114,231.342317,419.224878,1499.681195,,907.214,,0.402335,43.420314,43.822649,43.122555,305.627309,5.924333,398.496846,,,2798.49681,-6.895231,2805.392041
2004,,351.23,484.214,835.444,208.174685,460.258957,1503.877642,,928.473,,0.733913,57.60731,58.341223,52.830096,324.076054,5.993645,441.241018,,,2857.094388,-16.497272,2873.59166
2005,,343.916576,465.022645,808.939221,204.298486,514.391663,1527.62937,,916.026,,1.476688,68.220362,69.69705,61.003235,308.312773,5.878568,444.891626,,,2891.967865,3.420869,2888.546996
2006,,337.893053,478.336816,816.229869,199.828664,541.64984,1557.708373,,914.557,,2.46947,78.78721,81.25668,69.842055,311.382272,6.079915,468.560922,,,2938.456585,-2.36971,2940.826295
2007,,345.005,483.789459,828.794459,184.06611,572.76148,1585.622049,,872.215,,3.799527,99.900644,103.700171,78.413842,309.350063,6.23782,497.701896,,,2963.597427,8.058482,2955.538945
2008,,336.557,420.477054,757.034054,172.19416,612.789124,1542.017338,,885.034,,7.417621,113.249897,120.667518,88.04413,327.055216,6.178697,541.945561,,,2978.750193,9.753294,2968.996899
2009,,320.879,382.733826,703.612826,151.61171,564.727518,1419.952054,,824.88,,14.120981,124.673598,138.794579,97.124638,330.490037,5.975467,572.384721,,,2832.472703,15.255928,2817.216775
2010,,315.928,385.303144,701.231144,156.243601,588.46404,1445.938785,,854.514,,23.195063,139.895142,163.090205,111.417474,373.368775,6.050806,653.92726,,,2959.234435,4.85439,2954.380045
2011,,335.26,390.005759,725.265759,148.111008,557.281836,1430.658603,,837.797763,,47.289526,165.388897,212.678423,119.04042,307.453741,6.405249,645.577833,,,2914.965607,0.931408,2914.034199
2012,,340.112,403.465179,743.577179,141.818824,483.126492,1368.522495,,812.001017,,70.196886,187.380746,257.577632,132.880199,331.728506,6.253328,728.439665,,,2915.790796,6.827619,2908.963177
2013,,326.026598,402.887224,728.913822,132.997848,414.041377,1275.953047,,806.232671,,84.094245,209.437526,293.531771,138.910818,368.016339,6.459842,806.91877,,,2887.277142,-1.827346,2889.104488
2014,,318.216,374.526333,692.742333,131.068489,355.896875,1179.707697,,812.521009,,94.212822,222.359755,316.572577,144.231543,370.060946,6.785886,837.650952,,,2824.841224,-5.038434,2829.879658
2015,,316.315,388.676847,704.991847,131.850445,396.83529,1233.677582,,786.688808,,100.831736,263.181082,364.012818,149.414032,336.012583,7.068087,856.50752,,,2870.180804,-6.693106,2876.87391
2016,,302.015,357.111602,659.126602,132.541288,466.870337,1258.538227,,767.924482,,101.03643,266.908761,367.945191,151.079009,345.545926,7.258441,871.828567,,,2898.962654,0.671378,2898.291276
2017,,304.285176,334.603428,638.888604,129.858484,525.912408,1294.659496,,759.358643,,107.927972,312.31317,420.241142,153.703225,294.395964,7.273751,875.614082,,,2925.015531,-4.61669,2929.632221
2018,,293.760612,301.893993,595.654605,126.324603,490.590927,1212.570135,,761.938048,,114.998013,320.567928,435.565941,155.499988,344.382804,7.159677,942.60841,,,2925.997353,8.88076,2917.116593
2019,,244.3037238,210.9239113,455.2276351,117.918117,565.9639868,1139.109739,,765.3715203,,125.236846,363.7835276,489.0203736,156.7350217,324.157234,7.23534916,977.1479785,,,2883.438423,1.809185583,2881.629238
2020,,200.1686364,164.5626941,364.7313306,110.9773697,544.5888268,1020.297527,,685.1036599,,143.7199444,396.4424332,540.1623776,155.408169,351.5671094,7.196780432,1054.334436,,,2778.385357,18.64973347,2759.735623
