Continent,Country
Africa,Ethiopia
Africa,Uganda
Africa,Taiwan
Africa,"Tanzania, United Republic Of"
Africa,Kenya
Africa,Burundi
Africa,Rwanda
Africa,Malawi
Africa,Zambia
Africa,Mauritius
Africa,Cote d?Ivoire
Asia & Pacific,Indonesia
Asia & Pacific,China
Asia & Pacific,Thailand
Asia & Pacific,Japan
Asia & Pacific,Vietnam
Asia & Pacific,Philippines
Asia & Pacific,Laos
Asia & Pacific,Myanmar
Asia & Pacific,India
North America,Guatemala
North America,United States
North America,United States (Hawaii)
North America,United States (Puerto Rico)
North America,Costa Rica
North America,Mexico
North America,Honduras
North America,Nicaragua
North America,Panama
North America,El Salvador
North America,Puerto Rico
North America,Haiti
Asia & Pacific,Papua New Guinea
South America,Brazil
South America,Peru
South America,Colombia
South America,Ecuador
